date,time,mood_score,activity,mind_wandering,mind_content,gps
2025/11/27,0:15,19,reading,yes,sleeping,24.967540115570745 121.23408835505693
2025/11/27,0:12,76,reading,yes,sleeping,24.967639425635557 121.23415728106912
2025/11/27,0:06,75,reading,yes,sleeping,24.967518379189332 121.23411367735632
2025/11/26,20:22,43,sleeping,no,,24.967493854775256 121.23416004672957
2025/11/25,17:22,72,sleeping,yes,reading,24.967493854775256 121.23416004672957
